iter	RMSE
801	63569.50603
802	63554.7788
803	63543.60786
804	63538.43584
805	63532.96812
806	63523.43185
807	63520.86148
808	63509.36304
809	63499.49219
810	63492.99648
811	63489.06571
812	63483.33885
813	63478.64571
814	63474.80349
815	63468.06622
816	63461.44055
817	63449.68342
818	63441.10547
819	63438.4483
820	63428.04435
821	63410.71008
822	63408.18427
823	63391.61101
824	63383.82094
825	63376.05021
826	63367.32155
827	63363.00867
828	63356.9043
829	63351.31343
830	63346.69305
831	63338.16608
832	63329.38633
833	63324.63706
834	63316.94246
835	63309.29375
836	63303.67855
837	63291.74368
838	63284.51049
839	63279.18973
840	63275.32495
841	63265.16022
842	63251.61563
843	63245.31159
844	63238.20802
845	63232.79738
846	63224.80157
847	63220.97974
848	63211.88472
849	63207.72242
850	63203.99161
851	63198.44506
852	63184.27277
853	63179.66181
854	63172.31949
855	63162.36123
856	63156.2809
857	63143.7022
858	63136.98131
859	63126.03212
860	63124.39615
861	63122.0898
862	63118.87453
863	63111.94576
864	63100.63221
865	63091.06361
866	63082.05585
867	63077.65687
868	63068.65709
869	63057.00529
870	63039.43246
871	63033.09664
872	63023.75194
873	63014.01861
874	63006.32254
875	62991.98142
876	62982.18672
877	62974.90953
878	62967.21052
879	62961.58016
880	62957.40091
881	62946.1303
882	62939.74967
883	62929.23717
884	62918.89277
885	62910.2138
886	62905.11415
887	62897.06153
888	62890.92108
889	62888.92041
890	62878.98793
891	62871.54524
892	62866.75858
893	62863.48059
894	62853.23135
895	62850.94221
896	62844.27187
897	62836.56072
898	62828.89094
899	62826.7999
900	62819.09419
901	62807.97089
902	62807.87729
903	62800.57226
904	62793.02677
905	62789.95839
906	62788.17695
907	62776.62909
908	62773.36957
909	62762.04266
910	62749.66255
911	62747.48138
912	62743.98725
913	62735.62975
914	62735.46742
915	62732.77773
916	62728.96723
917	62726.11667
918	62723.48454
919	62719.32242
920	62708.74203
921	62701.33574
922	62694.06521
923	62685.50196
924	62682.95379
925	62674.75611
926	62667.43035
927	62662.67886
928	62656.28422
929	62655.47743
930	62649.10335
931	62644.20595
932	62644.11462
933	62637.47263
934	62634.42997
935	62634.30655
936	62625.10858
937	62620.31044
938	62615.34317
939	62610.4871
940	62599.42454
941	62593.07243
942	62589.51291
943	62581.97829
944	62577.7868
945	62577.09146
946	62568.74632
947	62558.86847
948	62554.92786
949	62546.45465
950	62536.43907
951	62529.19227
952	62529.06305
953	62521.85004
954	62518.38305
955	62518.10472
956	62508.74215
957	62508.6148
958	62506.12412
959	62501.89865
960	62496.72436
961	62487.88801
962	62475.12318
963	62469.12677
964	62460.09459
965	62454.01532
966	62446.01047
967	62445.9167
968	62435.35715
969	62427.13435
970	62422.65652
971	62414.72644
972	62410.67902
973	62401.79497
974	62398.17307
975	62395.45484
976	62389.12808
977	62378.87134
978	62375.63342
979	62366.5457
980	62361.05042
981	62358.16887
982	62348.57847
983	62345.74664
984	62337.92046
985	62335.45729
986	62329.97496
987	62326.19857
988	62314.68175
989	62309.12092
990	62299.92726
991	62292.75284
992	62288.0357
993	62287.04493
994	62280.58891
995	62277.3052
996	62268.86537
997	62264.09934
998	62262.57662
999	62258.85138
